(0, 1000)
(8, 992)
(-8, 992)
(32, 968)
(32, 952)
(40, 960)
(-32, 968)
(-32, 952)
(-40, 960)
(64, 936)
(72, 928)
(56, 928)
(64, 856)
(72, 864)
(56, 864)
(96, 904)
(96, 888)
(104, 896)
(-64, 936)
(-56, 928)
(-72, 928)
(-64, 856)
(-56, 864)
(-72, 864)
(-96, 904)
(-96, 888)
(-104, 896)
(128, 872)
(136, 864)
(120, 864)
(160, 840)
(160, 824)
(168, 832)
(96, 840)
(96, 824)
(88, 832)
(128, 664)
(136, 672)
(120, 672)
(160, 712)
(160, 696)
(168, 704)
(96, 712)
(96, 696)
(88, 704)
(192, 808)
(200, 800)
(184, 800)
(192, 728)
(200, 736)
(184, 736)
(224, 776)
(224, 760)
(232, 768)
(-128, 872)
(-120, 864)
(-136, 864)
(-96, 840)
(-96, 824)
(-88, 832)
(-160, 840)
(-160, 824)
(-168, 832)
(-128, 664)
(-120, 672)
(-136, 672)
(-96, 712)
(-96, 696)
(-88, 704)
(-160, 712)
(-160, 696)
(-168, 704)
(-192, 808)
(-184, 800)
(-200, 800)
(-192, 728)
(-184, 736)
(-200, 736)
(-224, 776)
(-224, 760)
(-232, 768)
(256, 744)
(264, 736)
(248, 736)
(288, 712)
(288, 696)
(296, 704)
(224, 712)
(224, 696)
(216, 704)
(320, 680)
(328, 672)
(312, 672)
(320, 600)
(328, 608)
(312, 608)
(352, 648)
(352, 632)
(360, 640)
(192, 680)
(200, 672)
(184, 672)
(192, 600)
(200, 608)
(184, 608)
(160, 648)
(160, 632)
(152, 640)
(256, 280)
(264, 288)
(248, 288)
(288, 328)
(288, 312)
(296, 320)
(224, 328)
(224, 312)
(216, 320)
(320, 424)
(328, 416)
(312, 416)
(320, 344)
(328, 352)
(312, 352)
(352, 392)
(352, 376)
(360, 384)
(192, 424)
(200, 416)
(184, 416)
(192, 344)
(200, 352)
(184, 352)
(160, 392)
(160, 376)
(152, 384)
(384, 616)
(392, 608)
(376, 608)
(416, 584)
(416, 568)
(424, 576)
(352, 584)
(352, 568)
(344, 576)
(384, 408)
(392, 416)
(376, 416)
(416, 456)
(416, 440)
(424, 448)
(352, 456)
(352, 440)
(344, 448)
(448, 552)
(456, 544)
(440, 544)
(448, 472)
(456, 480)
(440, 480)
(480, 520)
(480, 504)
(488, 512)
(-256, 744)
(-248, 736)
(-264, 736)
(-224, 712)
(-224, 696)
(-216, 704)
(-288, 712)
(-288, 696)
(-296, 704)
(-192, 680)
(-184, 672)
(-200, 672)
(-192, 600)
(-184, 608)
(-200, 608)
(-160, 648)
(-160, 632)
(-152, 640)
(-320, 680)
(-312, 672)
(-328, 672)
(-320, 600)
(-312, 608)
(-328, 608)
(-352, 648)
(-352, 632)
(-360, 640)
(-256, 280)
(-248, 288)
(-264, 288)
(-224, 328)
(-224, 312)
(-216, 320)
(-288, 328)
(-288, 312)
(-296, 320)
(-192, 424)
(-184, 416)
(-200, 416)
(-192, 344)
(-184, 352)
(-200, 352)
(-160, 392)
(-160, 376)
(-152, 384)
(-320, 424)
(-312, 416)
(-328, 416)
(-320, 344)
(-312, 352)
(-328, 352)
(-352, 392)
(-352, 376)
(-360, 384)
(-384, 616)
(-376, 608)
(-392, 608)
(-352, 584)
(-352, 568)
(-344, 576)
(-416, 584)
(-416, 568)
(-424, 576)
(-384, 408)
(-376, 416)
(-392, 416)
(-352, 456)
(-352, 440)
(-344, 448)
(-416, 456)
(-416, 440)
(-424, 448)
(-448, 552)
(-440, 544)
(-456, 544)
(-448, 472)
(-440, 480)
(-456, 480)
(-480, 520)
(-480, 504)
(-488, 512)
(0, -1000)
(8, -992)
(-8, -992)
(32, -952)
(32, -968)
(40, -960)
(-32, -952)
(-32, -968)
(-40, -960)
(64, -856)
(72, -864)
(56, -864)
(64, -936)
(72, -928)
(56, -928)
(96, -888)
(96, -904)
(104, -896)
(-64, -856)
(-56, -864)
(-72, -864)
(-64, -936)
(-56, -928)
(-72, -928)
(-96, -888)
(-96, -904)
(-104, -896)
(128, -664)
(136, -672)
(120, -672)
(160, -696)
(160, -712)
(168, -704)
(96, -696)
(96, -712)
(88, -704)
(128, -872)
(136, -864)
(120, -864)
(160, -824)
(160, -840)
(168, -832)
(96, -824)
(96, -840)
(88, -832)
(192, -728)
(200, -736)
(184, -736)
(192, -808)
(200, -800)
(184, -800)
(224, -760)
(224, -776)
(232, -768)
(-128, -664)
(-120, -672)
(-136, -672)
(-96, -696)
(-96, -712)
(-88, -704)
(-160, -696)
(-160, -712)
(-168, -704)
(-128, -872)
(-120, -864)
(-136, -864)
(-96, -824)
(-96, -840)
(-88, -832)
(-160, -824)
(-160, -840)
(-168, -832)
(-192, -728)
(-184, -736)
(-200, -736)
(-192, -808)
(-184, -800)
(-200, -800)
(-224, -760)
(-224, -776)
(-232, -768)
(256, -280)
(264, -288)
(248, -288)
(288, -312)
(288, -328)
(296, -320)
(224, -312)
(224, -328)
(216, -320)
(320, -344)
(328, -352)
(312, -352)
(320, -424)
(328, -416)
(312, -416)
(352, -376)
(352, -392)
(360, -384)
(192, -344)
(200, -352)
(184, -352)
(192, -424)
(200, -416)
(184, -416)
(160, -376)
(160, -392)
(152, -384)
(256, -744)
(264, -736)
(248, -736)
(288, -696)
(288, -712)
(296, -704)
(224, -696)
(224, -712)
(216, -704)
(320, -600)
(328, -608)
(312, -608)
(320, -680)
(328, -672)
(312, -672)
(352, -632)
(352, -648)
(360, -640)
(192, -600)
(200, -608)
(184, -608)
(192, -680)
(200, -672)
(184, -672)
(160, -632)
(160, -648)
(152, -640)
(384, -408)
(392, -416)
(376, -416)
(416, -440)
(416, -456)
(424, -448)
(352, -440)
(352, -456)
(344, -448)
(384, -616)
